Stations_id|von_datum|bis_datum|Stationshoehe|geoBreite|geoLaenge|Stationsname|Bundesland
00445|18980101|20221030|85|51.8218|11.7110|Bernburg/Saale_(Nord)|Sachsen-Anhalt

00450|19450101|20121204|120|49.9186|7.0664|Bernkastel-Kues|Rheinland-Pfalz

00460|19510101|20221030|363|49.2641|6.6868|Berus|Saarland

00480|19450101|20061231|296|50.9275|8.4937|Biedenkopf-Wallau|Hessen

00502|19670801|20061231|412|49.8747|9.4883|Bischbrunn|Bayern

00508|19940401|20101231|675|50.0539|11.8149|Bischofsgrün|Bayern

00524|19470101|19921231|80|51.6333|12.3167|Bitterfeld|Sachsen-Anhalt

00535|19470101|20221030|417|50.0372|7.3079|Blankenrath|Rheinland-Pfalz

00550|19940501|20020930|344|50.9041|11.7985|Bobeck|Thüringen

00554|19470101|20060228|23|51.8293|6.5365|Bocholt-Liedern_(Wasserwerk)|Nordrhein-Westfalen

00555|19400101|20181031|109|51.5025|7.2290|Bochum|Nordrhein-Westfalen

00576|19870801|20031231|445|48.6759|8.9732|Böblingen|Baden-Württemberg

00588|19920501|19960731|105|51.7520|9.3953|Boffzen|Niedersachsen

00591|19470101|20221030|45|53.3911|10.6878|Boizenburg|Mecklenburg-Vorpommern

00594|19930101|20000301|425|48.6407|9.6136|Boll,_Bad_(KKst)|Baden-Württemberg

00596|19470101|20221030|15|54.0027|11.1908|Boltenhagen|Mecklenburg-Vorpommern

00599|19321001|19990301|62|50.7055|7.1467|Bonn-Friesdorf|Nordrhein-Westfalen

00601|19740101|20031031|158|50.6983|7.0356|Bonn-Hardthöhe|Nordrhein-Westfalen

00603|19860801|20221030|147|50.7293|7.2040|Königswinter-Heiderhof|Nordrhein-Westfalen

00604|19710101|20051031|875|47.8194|8.3348|Bonndorf/Schwarzwald|Baden-Württemberg

00614|19510101|20071231|240|51.5709|9.3120|Borgentreich-Bühne|Nordrhein-Westfalen

00617|20040601|20221030|47|51.8730|6.8863|Borken_in_Westfalen|Nordrhein-Westfalen

00619|19470101|20221030|12|53.5788|6.6703|Borkum-Süderstraße|Niedersachsen

00634|19800301|19910331|373|49.4442|9.6458|Boxberg-Seehof|Baden-Württemberg

00636|19811101|19910331|373|49.4500|9.6500|Boxberg-Seehof_(Wind-3m)|Baden-Württemberg

00642|19660101|20221030|1|53.3517|8.4969|Brake|Niedersachsen

00643|19931101|19941231|0|53.2960|8.4529|Brake-Süderfeld|Niedersachsen

00648|19630501|20061231|9|53.8551|9.7152|Brande-Hörnerkirchen|Schleswig-Holstein

00650|19480701|20010430|35|52.4136|12.5503|Brandenburg-Görden|Brandenburg

00656|19310101|20221030|607|51.7234|10.6021|Braunlage|Niedersachsen

00657|19550101|20031231|625|51.6634|10.6690|Braunlage-Hohegeiß|Niedersachsen

00662|19610101|20221030|81|52.2915|10.4464|Braunschweig|Niedersachsen

00685|19980112|20061101|585|49.9017|9.4281|Breitsol|Bayern

00691|18900101|20221030|4|53.0451|8.7981|Bremen|Bremen

00701|19490101|20221030|7|53.5332|8.5761|Bremerhaven|Bremen

00704|19790401|20221030|11|53.4451|9.1390|Bremervörde|Niedersachsen

00705|19850601|20061231|5|53.5312|9.1664|Bremervörde-Niederochtenhausen|Niedersachsen

00706|19690901|20041231|234|47.8858|7.6611|Eschbach|Baden-Württemberg

00710|19831101|20031231|182|49.0249|8.6990|Bretten|Baden-Württemberg

00717|19370101|20040630|443|51.3873|8.5737|Brilon|Nordrhein-Westfalen

00722|18960101|20221030|1135|51.7986|10.6183|Brocken|Sachsen-Anhalt

00736|19350101|19991231|390|49.6303|7.1148|Brücken|Rheinland-Pfalz

00743|19750101|20010928|73|51.2000|6.1333|Brüggen_(Flugplatz)|Nordrhein-Westfalen

00748|19660101|20080930|5|53.8887|9.1411|Brunsbüttel_(Schleuse)|Schleswig-Holstein

00755|19350101|20221030|340|49.5182|9.3213|Buchen,_Kr._Neckar-Odenwald|Baden-Württemberg

00757|19901001|20221030|445|47.9625|7.9983|Buchenbach|Baden-Württemberg

00760|19760601|20221030|82|53.3629|9.9435|Rosengarten-Klecken|Niedersachsen

00766|19650101|20221030|477|50.1745|7.0595|Büchel_(Flugplatz)|Rheinland-Pfalz

00769|19720101|20221030|68|52.2817|9.0890|Bückeburg|Niedersachsen

00773|19860501|20041231|478|48.6743|8.1799|Bühlertal-Obertal|Baden-Württemberg

00781|19880101|19940331|221|51.6126|8.6190|Bühren-Ahden|Nordrhein-Westfalen

00788|19650101|20221030|3|54.1193|8.8584|Büsum|Schleswig-Holstein

00793|19920101|19941031|530|49.6620|7.1098|Buhlenberg|Rheinland-Pfalz

00807|19410101|20061231|290|49.7450|10.6434|Schlüsselfeld_(Kläranlage)|Bayern

00817|19521001|20221030|293|51.0306|8.8146|Burgwald-Bottendorf|Hessen

00829|19790701|19970831|479|50.3960|8.5465|Butzbach-Bodenrod|Hessen

00833|19720501|20010430|615|50.6951|13.4975|Neuhausen/Erzgeb.-Rauschenbach|Sachsen

00840|19891201|20221030|895|50.4313|12.6114|Carlsfeld|Sachsen

00850|19740801|20221030|45|52.5959|10.0296|Celle|Niedersachsen

00851|19480201|19960430|392|49.2504|12.6042|Pemfling-Pitzling|Bayern

00853|18820101|20221030|416|50.7913|12.8720|Chemnitz|Sachsen

00856|19980101|20221030|551|47.8843|12.5404|Chieming|Bayern

00863|18900101|20120331|585|51.7904|10.3470|Clausthal-Zellerfeld|Niedersachsen

00867|19470101|20221030|344|50.3066|10.9679|Lautertal-Oberlauter|Bayern

00879|20000701|20030331|68|51.7667|14.2833|Cottbus_(Flugplatz)|Brandenburg

00880|18870101|20221030|69|51.7759|14.3168|Cottbus|Brandenburg

00881|19500101|20031231|423|49.0985|10.0979|Crailsheim-Alexandersreut|Baden-Württemberg

00888|19650101|19911216|269|50.8149|12.3821|Crimmitschau|Sachsen

00891|19460101|20221030|5|53.8713|8.7060|Cuxhaven|Niedersachsen

00896|19490701|20221030|170|51.0778|10.8619|Dachwig|Thüringen

00909|19860101|19931130|54|54.0551|10.2984|Damsdorf|Schleswig-Holstein

00917|19950801|20221030|162|49.8809|8.6779|Darmstadt|Hessen

00918|19871001|19950731|122|49.8453|8.6240|Darmstadt_(A)|Hessen

00927|19851001|20001231|430|50.1957|6.8279|Daun|Rheinland-Pfalz

00931|19890801|20031231|712|47.8007|9.4108|Deggenhausertal-Azenweiler|Baden-Württemberg

00950|19850101|19930228|194|51.9500|8.9000|Detmold|Nordrhein-Westfalen

00953|19500801|20221030|481|49.7619|7.0542|Deuselbach|Rheinland-Pfalz

00954|19980101|20221030|0|54.1796|7.4587|UFS_Deutsche_Bucht|Hamburg

00963|19520901|20221030|38|52.5881|8.3424|Diepholz|Niedersachsen

00970|19850401|19990630|405|49.4158|10.6734|Dietenhofen|Bayern

00979|19470801|20220703|314|50.7364|8.2672|Dillenburg|Hessen

00981|19820501|20011231|193|49.3531|6.7490|Dillingen_(Saar)|Saarland

00982|19470501|20061130|420|48.5701|10.4985|Dillingen/Donau|Bayern

00983|20061201|20221030|419|48.5562|10.5599|Dillingen/Donau-Fristingen|Bayern

00991|19540901|20221030|359|50.9116|13.7087|Dippoldiswalde-Reinberg|Sachsen

00998|19480101|20090201|696|48.7968|8.4921|Dobel|Baden-Württemberg

01000|19910701|19970831|3|54.1442|11.8454|Doberan,_Bad-Heiligendamm|Mecklenburg-Vorpommern

01001|19480701|20221030|97|51.6451|13.5747|Doberlug-Kirchhain|Brandenburg

01010|19870401|20080923|5|52.9732|7.3209|Dörpen_(Kläranlage)|Niedersachsen

01011|19901011|20221030|442|49.6017|7.7413|Dörrmoschel-Felsbergerhof|Rheinland-Pfalz

01013|19800401|20221030|309|47.6026|8.1697|Dogern|Baden-Württemberg

01018|19510101|20041231|677|47.9422|8.5046|Donaueschingen|Baden-Württemberg

01032|19500101|19990930|120|51.5120|7.5345|Dortmund|Nordrhein-Westfalen

01035|19931201|20001130|122|51.5206|7.6161|Dortmund-Wickede|Nordrhein-Westfalen

01048|19340101|20221030|228|51.1278|13.7543|Dresden-Klotzsche|Sachsen

01050|19490101|20221030|112|51.0221|13.8470|Dresden-Hosterwitz|Sachsen

01051|19360101|20221030|119|51.0249|13.7751|Dresden-Strehlen|Sachsen

01052|19930501|20221030|80|52.2174|12.1641|Drewitz_bei_Burg|Sachsen-Anhalt

01053|19370101|20030731|192|51.7337|9.0445|Driburg,_Bad|Nordrhein-Westfalen

01072|19520101|20221030|107|49.4719|8.1929|Dürkheim,_Bad|Rheinland-Pfalz

01076|19360801|20081231|692|48.0135|8.5343|Dürrheim,_Bad|Baden-Württemberg

01078|19520101|20221030|37|51.2960|6.7686|Düsseldorf|Nordrhein-Westfalen

01079|19350101|19960731|37|51.1998|6.7574|Düsseldorf-Südfriedhof|Nordrhein-Westfalen

01084|19940501|20070531|31|51.3940|6.7026|Duisburg-Friemersheim|Nordrhein-Westfalen

01087|19510101|19931231|21|51.4634|6.7321|Duisburg-Laar|Nordrhein-Westfalen

01091|19511001|20071231|258|51.2806|10.7362|Ebeleben|Thüringen

01093|19510101|20051031|131|49.4593|8.9595|Eberbach|Baden-Württemberg

01102|19871101|20021231|300|48.7201|9.5328|Ebersbach/Fils|Baden-Württemberg

01103|19780101|20221030|592|48.1003|11.9872|Ebersberg-Halbing|Bayern

01107|19630101|20221030|346|49.8520|10.4991|Ebrach|Bayern

01126|19840401|19990130|117|49.9600|8.6400|Egelsbach|Hessen

01130|19720401|20050131|17|54.6282|9.3649|Eggebek|Schleswig-Holstein

01161|19550101|20221030|384|48.8777|11.2349|Eichstätt-Landershofen|Bayern

01163|19761101|20070224|4|54.2667|8.8500|Eidersperrwerk|Schleswig-Holstein

01169|19760201|19990930|264|47.6288|7.5959|Eimeldingen|Baden-Württemberg

01182|19470101|20010531|146|51.5029|11.5705|Eisleben-Helfta|Sachsen-Anhalt

01197|19410101|20221030|463|48.9895|10.1312|Ellwangen-Rindelbach|Baden-Württemberg

01200|19980101|20221030|3|54.0691|9.0105|Elpersbüttel|Schleswig-Holstein

01201|19470701|20001231|85|50.9281|6.5646|Elsdorf/Erftkreis|Nordrhein-Westfalen

01207|19480601|20221030|558|50.2705|12.2742|Elster,_Bad-Sohl|Sachsen

01214|19871101|20221030|431|48.2012|8.1088|Elzach-Fisnacht|Baden-Württemberg

01219|19470101|19980310|5|53.3449|7.1909|Emden-Nesserland|Niedersachsen

01224|19751101|20221030|201|48.1378|7.8351|Emmendingen-Mundingen|Baden-Württemberg

01228|20000701|20220518|0|54.1651|6.3460|UFS_TW_Ems|Hamburg

01229|19470101|19970331|90|50.3324|7.6975|Ems,_Bad|Rheinland-Pfalz

01238|19510101|19960930|144|50.9884|7.4250|Engelskirchen|Nordrhein-Westfalen

01239|19860801|20080922|540|47.8516|8.7673|Engen/Hegau|Baden-Württemberg

01246|20150801|20221030|104|51.8418|8.0607|Ennigerloh-Ostenfelde|Nordrhein-Westfalen

01254|19470701|20021130|210|49.1307|8.9165|Eppingen|Baden-Württemberg

01255|20021201|20221030|226|49.1661|8.8483|Eppingen-Elsenz|Baden-Württemberg

01261|19690101|19920731|460|48.3192|11.9440|Erding|Bayern

01262|19920517|20221030|446|48.3477|11.8134|München-Flughafen|Bayern

01266|19640501|20221030|18|54.2992|9.3162|Erfde|Schleswig-Holstein

01270|19510101|20221030|316|50.9829|10.9608|Erfurt-Weimar|Thüringen

01276|19800801|20021231|408|47.6358|9.5392|Eriskirch-Mariabrunn|Baden-Württemberg

01279|19490101|20221030|268|49.6497|11.0075|Möhrendorf-Kleinseebach|Bayern

01281|19820101|20010430|284|49.5653|10.9729|Erlangen-Frauenaurach|Bayern

01287|19911201|20060831|198|49.8589|9.2861|Eschau-Hobbach|Bayern

01292|19670101|20060430|470|49.7522|11.8222|Eschenbach/Oberpfalz|Bayern

01297|19470901|20221030|156|51.2041|10.0138|Eschwege|Hessen

01299|19790901|19991031|3|53.6476|7.6085|Esens|Niedersachsen

01300|19380101|20221030|351|51.2540|8.1565|Eslohe|Nordrhein-Westfalen

01303|19350101|20221030|150|51.4041|6.9677|Essen-Bredeney|Nordrhein-Westfalen

01327|19370101|20221030|147|50.7119|6.7905|Weilerswist-Lommersum|Nordrhein-Westfalen

01329|19360101|20031231|50|54.1340|10.5865|Eutin|Schleswig-Holstein

01332|19660701|20221030|471|48.4832|12.7241|Falkenberg,Kr.Rottal-Inn|Bayern

01339|19710101|20221030|76|52.9157|10.1885|Faßberg|Niedersachsen

01341|20081201|20110929|0|54.6000|11.1500|Fehmarnbelt|Schleswig-Holstein

01346|19450101|20221030|1490|47.8749|8.0038|Feldberg/Schwarzwald|Baden-Württemberg

01357|19480101|20221030|655|49.9807|11.8376|Fichtelberg/Oberfranken-Hüttstadl|Bayern

01358|18900801|20221030|1213|50.4283|12.9536|Fichtelberg|Sachsen

01359|19820101|19921126|705|50.0242|11.2219|Fichtelberg/Ofr|Bayern

01372|19920101|20021031|757|47.4608|10.2696|Fischen|Bayern

01378|19850701|20061231|45|54.8086|9.4182|Flensburg|Schleswig-Holstein

01379|19570101|20221030|41|54.7737|9.3752|Flensburg_(Schäferhaus)|Schleswig-Holstein

01392|19871001|20061231|621|49.7316|12.3489|Flossenbürg|Bayern

01410|19540701|19970331|130|51.3512|11.0958|Frankenhausen/Kyffhäuser,_Bad|Thüringen

01411|19491001|20221030|747|50.5309|10.0479|Birx/Rhön|Thüringen

01420|19490101|20221030|100|50.0259|8.5213|Frankfurt/Main|Hessen

01424|19851101|20221030|124|50.1269|8.6694|Frankfurt/Main-Westend|Hessen

01440|19710501|20031231|476|48.2018|7.9336|Freiamt-Ottoschwanden|Baden-Württemberg

01441|19450701|19930430|416|50.9263|13.2711|Freiberg|Sachsen

01443|18740101|20221030|237|48.0232|7.8343|Freiburg|Baden-Württemberg

01451|19701101|20221030|2|53.8277|9.2493|Freiburg/Elbe|Niedersachsen

01467|19480101|20091231|736|48.4607|8.4141|Freudenstadt-Kurgarten|Baden-Württemberg

01468|19490101|20221030|797|48.4538|8.4090|Freudenstadt|Baden-Württemberg

01473|20060101|20190228|414|49.1869|11.3080|Freystadt-Michelbach|Bayern

01481|19710101|19981231|928|47.9216|8.2547|Friedenweiler|Baden-Württemberg

01490|19470101|20221030|394|47.6454|9.4795|Friedrichshafen|Baden-Württemberg

01492|19580101|20031231|852|47.7819|7.7348|Malsburg-Marzell-Friedrichsheim|Baden-Württemberg

01493|19920701|19951231|793|50.4788|11.0159|Friedrichshöhe|Thüringen

01503|19470201|20221030|6|53.0643|7.9020|Friesoythe-Altenoythe|Niedersachsen

01504|20000701|20221030|172|51.1190|9.2799|Fritzlar_(Flugplatz)|Hessen

01505|19750101|20071031|222|51.1333|9.2833|Fritzlar-Kasseler_Warte|Hessen

01515|19690101|20030731|519|48.2000|11.2667|Fürstenfeldbruck|Bayern

01526|18850101|20221030|242|50.5668|9.6532|Fulda-Horas|Hessen

01544|19470101|20221030|47|52.5129|11.3942|Gardelegen|Sachsen-Anhalt

01550|19360101|20221030|719|47.4830|11.0621|Garmisch-Partenkirchen|Bayern

01552|19951101|19960430|13|53.2066|14.3817|Gartz/Oder|Brandenburg

01572|19821201|20221030|80|50.9593|6.0392|Geilenkirchen_(Flugplatz)|Nordrhein-Westfalen

01580|18840701|20221030|111|49.9859|7.9548|Geisenheim|Hessen

01584|20090601|20221030|673|47.9242|8.6474|Geisingen|Baden-Württemberg

01587|19980101|20221030|536|48.9481|11.4289|Gelbelsee|Bayern

01590|19631001|20221030|37|51.4942|6.2463|Geldern-Walbeck|Nordrhein-Westfalen

01602|19700101|20221030|177|48.4330|7.9930|Ohlsbach|Baden-Württemberg

01605|19530101|20221030|35|52.3875|12.1602|Genthin|Sachsen-Anhalt

01612|19520101|20221030|311|50.8812|12.1289|Gera-Leumnitz|Thüringen

01617|19520101|20071231|210|51.7259|11.1317|Gernrode|Sachsen-Anhalt

01619|19560101|20051231|90|49.7622|8.4887|Gernsheim|Hessen

01623|19960301|20021130|530|50.4477|9.9174|Gersfeld|Hessen

01639|19390101|20221030|203|50.6017|8.6439|Gießen/Wettenberg|Hessen

01645|19490101|20221030|340|50.9656|9.0500|Gilserberg-Moischeid|Hessen

01666|19710101|20221030|12|54.8273|9.5058|Glücksburg-Meierwik|Schleswig-Holstein

01667|19480101|20061231|1|53.7970|9.4295|Glückstadt|Schleswig-Holstein

01684|18600101|20221030|239|51.1621|14.9506|Görlitz|Sachsen

01689|19360101|20040630|441|49.7656|11.3062|Gößweinstein|Bayern

01691|19270101|20221030|167|51.5002|9.9507|Göttingen|Niedersachsen

01694|19470101|20221028|59|53.6058|12.1034|Goldberg|Mecklenburg-Vorpommern

01721|19910101|20221030|506|49.6640|11.2239|Gräfenberg-Kasberg|Bayern

01735|19951201|20221030|628|48.7894|13.6290|Grainet-Rehberg|Bayern

01736|19510101|20221030|27|53.5731|10.6797|Grambek|Schleswig-Holstein

01748|19360101|20050331|608|50.4788|9.2620|Grebenhain-Herchenhain|Hessen

01757|18980301|20221030|2|54.0967|13.4056|Greifswald|Mecklenburg-Vorpommern

01759|19470801|20221030|12|54.2437|13.9102|Greifswalder_Oie|Mecklenburg-Vorpommern

01762|18970101|20061231|270|50.6249|12.1777|Greiz-Dölau|Thüringen

01766|19820101|20221030|48|52.1344|7.6969|Münster/Osnabrück|Nordrhein-Westfalen

01792|20200813|20221030|27|52.7553|7.4815|Groß_Berßen|Niedersachsen

01803|19670101|20221030|34|54.0714|12.3238|Groß_Lüsewitz|Mecklenburg-Vorpommern

01831|19830901|20040827|1449|49.1129|13.1365|Großer_Arber_(Ost)|Bayern

01832|19821101|20221030|1436|49.1129|13.1338|Großer_Arber|Bayern

01863|19950301|20221030|258|50.2667|9.1854|Gründau-Breitenborn|Hessen

01869|19730101|20221030|56|53.3154|13.9339|Grünow|Brandenburg

01873|19570501|19981231|300|51.7956|10.2380|Grund,_Bad|Niedersachsen

01874|19800401|19921124|320|51.8000|10.2167|Grund,_Bad_(Erzbergwerk)|Niedersachsen

01875|19510101|20021231|492|48.9354|9.7364|Gschwend,_Kr._Ostalb|Baden-Württemberg

01886|20091126|20221030|444|48.4878|10.2608|Günzburg|Bayern

01891|18880101|20020331|73|51.8770|8.3577|Rheda-Wiedenbrück-Lintel|Nordrhein-Westfalen

01892|19750601|20131027|72|51.9298|8.3005|Gütersloh_(Flugplatz)|Nordrhein-Westfalen

01902|19841101|20001231|413|49.1273|10.7448|Gunzenhausen_(Altmühlsee)|Bayern

01920|19780601|20071231|100|51.4129|7.4895|Hagen-Fley|Nordrhein-Westfalen

01929|19470101|20010731|567|51.8597|10.3368|Hahnenklee|Niedersachsen

01957|19510101|20150323|93|51.5138|11.9499|Halle-Kröllwitz|Sachsen-Anhalt

01963|19690101|20221030|4|54.5742|8.5133|Hallig_Hooge|Schleswig-Holstein

01964|19520101|20221030|328|49.9445|6.3821|Olsdorf|Rheinland-Pfalz

01975|19360101|20221030|11|53.6332|9.9881|Hamburg-Fuhlsbüttel|Hamburg

01979|19510101|20061231|2|53.4213|10.1462|Hamburg-Kirchwerder|Hamburg

01981|19620501|20221030|3|53.4777|9.8957|Hamburg-Neuwiedenthal|Hamburg

01987|19560101|20000229|47|53.5467|9.9662|Hamburg-Sankt_Pauli|Hamburg

01990|19510101|20061231|18|53.5853|10.1293|Hamburg-Wandsbek|Hamburg

01993|19400101|20221030|68|52.0848|9.3896|Hameln|Niedersachsen

02000|19950601|19960930|106|50.1205|8.9243|Hanau|Hessen

02005|19610101|19941231|108|52.7199|10.5987|Hankensbüttel|Niedersachsen

02014|19360101|20221030|55|52.4644|9.6779|Hannover|Niedersachsen

02023|19980101|20221030|501|48.7918|10.7062|Harburg|Bayern

02039|19360101|20221030|201|51.9002|10.5699|Harzburg,_Bad|Niedersachsen

02044|19450501|20221030|404|51.6520|11.1366|Harzgerode|Sachsen-Anhalt

02055|19871113|20141228|292|50.0493|10.4947|Haßfurt|Bayern

02074|19470101|20221030|518|48.3752|8.9800|Hechingen|Baden-Württemberg

02078|19370101|20020630|10|54.2181|9.0853|Weddingstedt|Schleswig-Holstein

02080|19350101|20120912|110|49.4206|8.6676|Heidelberg|Baden-Württemberg

02088|19470101|20050430|522|48.6849|10.1420|Heidenheim/Brenz|Baden-Württemberg

02095|19470701|20031031|167|49.1448|9.2333|Heilbronn|Baden-Württemberg

02100|20181201|20191117|4|54.1860|7.9119|Helgoland-Düne|Schleswig-Holstein

02110|19630101|20221030|57|51.0411|6.1042|Heinsberg-Schleiden|Nordrhein-Westfalen

02115|19520501|20221030|4|54.1750|7.8920|Helgoland|Schleswig-Holstein

02120|19470301|20061231|140|52.2164|11.0219|Helmstedt|Niedersachsen

02122|19700101|20020531|2|53.9701|9.0095|Helse,_Kr._Dithmarschen|Schleswig-Holstein

02147|19360101|20071231|77|52.1264|8.6865|Herford|Nordrhein-Westfalen

02151|19470101|19910831|215|51.0048|10.1705|Herleshausen|Hessen

02158|19510101|20090101|350|48.8042|8.4430|Herrenalb,_Bad|Baden-Württemberg

